glacier_id,glacier_na,glims_id,wgi_id,rgi_id,nhd_id,gnis_id,recno,parent_ice,glac_status
G241605E36712N,CA,G241605E36712N,,RGI60-02.14989,33995719, ,,,exists
G241593E36713N,CA,G241593E36713N,,RGI60-02.14990,33995717, ,,,exists
G241490E36712N,CA,G241490E36712N,,RGI60-02.14991,33995657, ,,,exists
G241596E36713N,CA,G241596E36713N,,RGI60-02.14992,33995713, ,,,exists
G241515E36713N,CA,G241515E36713N,,RGI60-02.14993,33995665, ,,,exists
G241588E36715N,CA,G241588E36715N,,RGI60-02.14994,33995707, ,,,exists
G241504E36717N,CA,G241504E36717N,,RGI60-02.14995,33995639, ,,,exists
G241511E36720N,CA,G241511E36720N,,RGI60-02.14996,33995637, ,,,exists
G241465E36731N,CA,G241465E36731N,,RGI60-02.14997,,,,,exists
G241644E36745N,CA,G241644E36745N,,RGI60-02.14998,,,,,exists
G241642E36746N,CA,G241642E36746N,,RGI60-02.14999,,,,,exists
G241643E36753N,CA,G241643E36753N,,RGI60-02.15000,{DFBD1F7A-D826-4CDE-9E5B-5902BD707C97}, ,,,exists
G241632E36754N,CA,G241632E36754N,,RGI60-02.15001,,,,,exists
G241641E36754N,CA,G241641E36754N,,RGI60-02.15002,{BF514CE4-2815-4D8F-8A23-9DE96925CA05}, ,,,exists
G241612E36783N,CA,G241612E36783N,,RGI60-02.15003,33995535, ,,,exists
G241606E36786N,CA,G241606E36786N,,RGI60-02.15004,33995527, ,,,exists
G241596E36787N,CA,G241596E36787N,,RGI60-02.15005,33995511, ,,,exists
G241600E36788N,CA,G241600E36788N,,RGI60-02.15006,33995513, ,,,exists
G241623E36795N,CA,G241623E36795N,,RGI60-02.15007,33995497, ,,,exists
G241635E36797N,CA,G241635E36797N,,RGI60-02.15008,,,,,exists
G241637E36797N,CA,G241637E36797N,,RGI60-02.15009,,,,,exists
G241551E36803N,CA,G241551E36803N,,RGI60-02.15010,33995455, ,,,exists
G241546E36804N,CA,G241546E36804N,,RGI60-02.15011,33995447, ,,,exists
G241544E36807N,CA,G241544E36807N,,RGI60-02.15012,33995443, ,,,exists
G241618E36813N,CA,G241618E36813N,,RGI60-02.15013,79972647, ,,,exists
G241561E36819N,CA,G241561E36819N,,RGI60-02.15014,33995421, ,,,exists
G241628E36822N,CA,G241628E36822N,,RGI60-02.15015,,,,,exists
G241610E36824N,CA,G241610E36824N,,RGI60-02.15016,,,,,exists
G241612E36828N,CA,G241612E36828N,,RGI60-02.15017,79972619, ,,,exists
G241551E36835N,CA,G241551E36835N,US2K04316015,RGI60-02.15018,33995403, ,,,exists
G241558E36836N,CA,G241558E36836N,,RGI60-02.15019,33995405, ,,,exists
G241611E36838N,CA,G241611E36838N,US2K04316007,RGI60-02.15020,33995409, ,,,exists
G241556E36842N,CA,G241556E36842N,,RGI60-02.15021,33995391, ,,,exists
G241630E36863N,CA,G241630E36863N,US2K04316003,RGI60-02.15022,33995371, ,,,exists
G241626E36863N,CA,G241626E36863N,US2K04316004,RGI60-02.15023,33995367, ,,,exists
G241614E36869N,CA,G241614E36869N,,RGI60-02.15024,33995353, ,,,exists
G241601E36872N,CA,G241601E36872N,,RGI60-02.15025,33995349, ,,,exists
G241611E36875N,CA,G241611E36875N,,RGI60-02.15026,33995347, ,,,exists
G241607E36878N,CA,G241607E36878N,,RGI60-02.15027,33995343, ,,,exists
G241361E36876N,CA,G241361E36876N,,RGI60-02.15028,33995275, ,,,exists
G241364E36877N,CA,G241364E36877N,,RGI60-02.15029,33995273, ,,,exists
G241351E36877N,CA,G241351E36877N,,RGI60-02.15030,33995269, ,,,exists
G241335E36878N,CA,G241335E36878N,,RGI60-02.15031,33995251, ,,,exists
G241374E36879N,CA,G241374E36879N,,RGI60-02.15032,,,,,exists
G241331E36881N,CA,G241331E36881N,,RGI60-02.15033,33995239, ,,,exists
G241349E36882N,CA,G241349E36882N,,RGI60-02.15034,33995241, ,,,exists
G241330E36883N,CA,G241330E36883N,,RGI60-02.15035,33995229, ,,,exists
G241327E36885N,CA,G241327E36885N,,RGI60-02.15036,33995223, ,,,exists
G241335E36887N,CA,G241335E36887N,,RGI60-02.15037,,,,,exists
G241533E36920N,CA,G241533E36920N,,RGI60-02.15038,33995235, ,,,exists
G241518E36928N,CA,G241518E36928N,,RGI60-02.15039,33995207, ,,,exists
G241580E36932N,CA,G241580E36932N,,RGI60-02.15040,33995225, ,,,exists
G241510E36932N,CA,G241510E36932N,,RGI60-02.15041,33995193, ,,,exists
G241569E36935N,CA,G241569E36935N,,RGI60-02.15042,33995219, ,,,exists
G241572E36935N,CA,G241572E36935N,,RGI60-02.15043,33995215, ,,,exists
G241463E36937N,CA,G241463E36937N,,RGI60-02.15044,33995175, ,,,exists
G241454E36944N,CA,G241454E36944N,,RGI60-02.15045,33995163, ,,,exists
G241615E36948N,CA,G241615E36948N,,RGI60-02.15046,,,,,exists
G241461E36946N,CA,G241461E36946N,,RGI60-02.15047,33995161, ,,,exists
G241603E36948N,CA,G241603E36948N,US2K04316001,RGI60-02.15048,33995201, ,,,exists
G241597E36952N,CA,G241597E36952N,US2K04316002,RGI60-02.15049,33995187, ,,,exists
G241475E36956N,CA,G241475E36956N,,RGI60-02.15050,33995157, ,,,exists
G241586E36958N,CA,G241586E36958N,,RGI60-02.15051,33995177, ,,,exists
G241473E36957N,CA,G241473E36957N,,RGI60-02.15052,33995153, ,,,exists
G241598E36959N,CA,G241598E36959N,,RGI60-02.15053,,,,,exists
G241606E36961N,CA,G241606E36961N,,RGI60-02.15054,,,,,exists
G241604E36961N,CA,G241604E36961N,,RGI60-02.15055,,,,,exists
G241474E36961N,CA,G241474E36961N,,RGI60-02.15056,33995143, ,,,exists
G241491E36963N,CA,G241491E36963N,,RGI60-02.15057,33995149, ,,,exists
G241492E36965N,CA,G241492E36965N,,RGI60-02.15058,33995141, ,,,exists
G241492E36966N,CA,G241492E36966N,,RGI60-02.15059,33995135, ,,,exists
